Day,Problem Name,Topic,Difficulty,Language,LOGIC,CODE
" 1",Consonants Count in Sliding Window,"Arrays, String",⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=5NPnoYDusAw,https://www.youtube.com/watch?v=DZUA8GDth_8
2,Equal Count - Vowels & Consonants,"Arrays, String",⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=e895nA4hPC0&t=3s,https://www.youtube.com/watch?v=e895nA4hPC0&t=3s
3,Path - Top Left to Bottom Right,"Dynamic Programming, Loops",⭐⭐⭐⭐⭐,java,https://youtu.be/weE-o93MqOc?si=4_WvlwTDgBdRlbb4,https://youtu.be/WP17lk8aqT4?si=H3t3YNQmFtFJUzAO
4,Path - Bottom Left to Top Right,"Dynamic Programming, Loops",⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=ry2fQhsvWko,https://www.youtube.com/watch?v=ry2fQhsvWko
5,Maximum Sum of Sub-Arrays,"Arrays, Two pointer",⭐⭐⭐,java,https://www.youtube.com/watch?v=YxiRc60kghI&t=8s,https://www.youtube.com/watch?v=FWTqoQO1YFA
6,Array sum Target,"Arrays, Two pointer",⭐⭐⭐,java,https://www.youtube.com/watch?v=OpJmdGwzsAM&t=7s,https://www.youtube.com/watch?v=c6007z_2oj4
7,Collect Max from a Given Cell,"2D Matrix, Dynamic Programming",⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=UuNzFOj9taM&t=1s,https://www.youtube.com/watch?v=YcAAjHNgDsc
8,Minimum Sum Of SubArrays,Dynamic Programming,⭐⭐⭐,java,https://www.youtube.com/watch?v=WmTagkEDj9o,https://www.youtube.com/watch?v=WmTagkEDj9o
9,BoyIceCream,Dynamic Programming,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=hi-2KbiAKck&t=2s,https://www.youtube.com/watch?v=nYVID5mf1QI
10, KthDayIcecream,Dynamic Programming,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=j7dsrZ0a9fs,https://www.youtube.com/watch?v=1bMFUJcigRw
11,N Bishops,"2D Matrix, backtracking",⭐⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=sDqlDgDsWm0,https://www.youtube.com/watch?v=1lGI9QLGf3Q&t=6s
12.1,"Stack ",Stack /Queue,⭐⭐,java,https://www.youtube.com/watch?v=daHp_G7eDS8&t=1s,
12.2,Remove Adjacent,Stack /Queue,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=s9sVtzW97Ek&t=1s,https://www.youtube.com/watch?v=E_NoLTyWXYQ
13,Majority Element,Arrays,⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=fdDkTJVKzeI,https://www.youtube.com/watch?v=9Q2eYVn9EOc
14,Array Next Greater,"Arrays, Stack /Queue",⭐⭐⭐,java,https://www.youtube.com/watch?v=0CuD-TV7cvw,https://www.youtube.com/watch?v=gWEDQFPwYJc
15,MinOperationsXtoY,"Arrays, Greedy, Loops",⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=PuZxIcD_74A&t=3s,https://www.youtube.com/watch?v=2c-7zQE2iQU&t=141s
16,MinOperations0toN,"Arrays, Greedy, Loops",⭐⭐⭐⭐,java,https://www.youtube.com/watch?v=4yx56XLZeHc,https://www.youtube.com/watch?v=5ODK6muM04k
